iter	Logloss
0	0.6345975935
1	0.5821738159
2	0.536109203
3	0.4922448434
4	0.4506230198
5	0.4165109727
6	0.3855723247
7	0.3589960512
8	0.329146501
9	0.3036517077
10	0.2793441382
11	0.257702187
12	0.2407448692
13	0.225226436
14	0.2095610351
15	0.1951945625
16	0.1846442912
17	0.1732121946
18	0.1632697999
19	0.1537118642
20	0.1460680989
21	0.1393085269
22	0.1315902081
23	0.1265649653
24	0.1211223295
25	0.1175602502
26	0.1119215835
27	0.1077986165
28	0.1029698384
29	0.0986395114
30	0.09615119676
31	0.09377886222
32	0.09163242394
33	0.08899570965
34	0.08655943737
35	0.08411792667
36	0.08245623879
37	0.08067619472
38	0.07827483014
39	0.07692957542
40	0.07555168248
41	0.07391568055
42	0.07177635588
43	0.07028396644
44	0.06840369806
45	0.06745874221
46	0.06587893724
47	0.0646966767
48	0.06327847649
49	0.06244927114
50	0.06149193877
51	0.06045234473
52	0.05980879338
53	0.05862077701
54	0.05796779561
55	0.05723820058
56	0.05668393745
57	0.05583438662
58	0.05545563798
59	0.05452632489
60	0.05396694639
61	0.0532831949
62	0.05305155948
63	0.05212511105
64	0.05163175536
65	0.05108733309
66	0.05074313014
67	0.04995906245
68	0.0491270113
69	0.04865425364
70	0.04784921475
71	0.04723317029
72	0.04680454552
73	0.0461453941
74	0.04523684268
75	0.04456790962
76	0.04429176872
77	0.04371691534
78	0.04331697618
79	0.04278334029
80	0.04215936635
81	0.04188383767
82	0.04157795788
83	0.04135640998
84	0.04090694022
85	0.04072319587
86	0.04048617238
87	0.04004556143
88	0.03989673999
89	0.03953182104
90	0.0394369881
91	0.03915172486
92	0.03901884894
93	0.03869289892
94	0.03815146211
95	0.03783431435
96	0.0375035486
97	0.03729480873
98	0.03685405537
99	0.03640809608
100	0.03575616916
101	0.03569260107
102	0.03523461797
103	0.03514318762
104	0.03468352676
105	0.03434562089
106	0.03403483312
107	0.03364170803
108	0.03354889364
109	0.03340411922
110	0.03310352241
111	0.03281770859
112	0.03218629616
113	0.03186893819
114	0.03157080811
115	0.03135488728
116	0.03126355296
117	0.03111994846
118	0.03081413272
119	0.03041541944
120	0.03007503256
121	0.02976127995
122	0.0296251658
123	0.02939174213
124	0.0293002632
125	0.02921549833
126	0.02886017345
127	0.02860820514
128	0.02834298725
129	0.0278810478
130	0.02769682564
131	0.02747245776
